index,rank_2027,rank_2026,institution_name,country_territory,region,size,focus,research_intensity,status,academic_reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citations_per_faculty_score,citations_per_faculty_rank,international_faculty_score,international_faculty_rank,international_students_score,international_students_rank,international_research_network_score,international_research_network_rank,employment_outcomes_score,employment_outcomes_rank,sustainability_score,sustainability_rank,overall_score
148,148,140,Erasmus University Rotterdam,Netherlands,Europe,L,FO,VH,Public,50.5,226,65.8,160,21.5,801+,71.3,205,86.5,263,84.5,210,82.4,325,91.9,94,67.3,457=,61.9
149,149,137,Newcastle University,United Kingdom,Europe,L,FC,VH,Public,60.1,181,58.9,187,39.6,502,58.8,289,86.4,265,71.8,279,96.4,60,36.2,492,91.7,64=,61.6
150,150,162,Ghent University,Belgium,Europe,XL,FC,VH,Public,70.3,138,46.7,279,84.3,142,28.1,615,86.9,257,31.2,592,99,14,78.8,169,94.3,33=,61.5
151,150,158,University of Basel,Switzerland,Europe,M,FC,VH,Public,36.7,327,19.3,687,68.7,233,90.3,100,100,49,91.8,164,89.7,192,83.8,143,90.7,80=,61.5
152,152,140,Eindhoven University of Technology,Netherlands,Europe,M,FO,VH,Public,43.2,279,66.2,158,43.1,456,76,178,100,94,98.6,88,70.3,567,35.4,503,78.8,240=,61.4
153,153,146,University of Southern California,United States of America,Americas,XL,FC,VH,Private not for Profit,63.3,163,74.9,118,23.9,755,45.9,409,30.5,598,86.1,201,89.1,202,96.5,54,90.8,78=,61.3
154,154,153,Wageningen University & Research,Netherlands,Europe,L,CO,VH,Public,57.3,190,30.3,461,99.7,32,50,372,74.3,330,90.6,174,97.9,29,36.1,493,91.7,64=,61.1
155,155,159,Hanyang University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,60.7,177,76.4,112,81.7,164,41.2,460,22,705,70,294,71.9,539,52,348,84.2,162=,60.9
156,156,164,Nagoya University,Japan,Asia,L,FC,VH,Public,74.2,121,79.4,105,82.6,156,33.7,544,21,722,24.8,668,70.7,557,39,465,79.8,230,60.8
157,157,147,University of Groningen,Netherlands,Europe,XL,FC,VH,Public,69.1,143,34.9,389,61.1,295,44.6,428,91.4,225,93.1,154,94,111,50.2,363,69,413=,60.7
158,158,145,Technische Universität Berlin (TU Berlin),Germany,Europe,L,CO,VH,Public,63.7,160,69.8,142,74.4,194,30.4,583,66.9,366,85.4,206,90.7,176,44.9,411,64.8,509=,60.6
159,158,153,Universiti Teknologi Malaysia,Malaysia,Asia,L,CO,VH,Public,64.1,158,62.3,175,59.1,316,58.4,292,18.4,762,94,147,90,184,19.4,783,70.1,395=,60.6
160,158,140,University of North Carolina at Chapel Hill,United States of America,Americas,L,FC,VH,Public,71.4,133,52,236,89.6,109,40.2,473,30.6,597,18.5,763,87.7,219,70.7,210,82.9,180=,60.6
161,158,169,University of York,United Kingdom,Europe,L,FC,VH,Public,59,186,51.9,237,50,383,54.2,327,91.8,219,65.7,324,96.2,69,41.4,445,93.6,40,60.6
162,162,168,Université de Montréal,Canada,Americas,XL,FC,VH,Public,67.2,147,44.8,299,67.3,245,33.6,546,96.3,168,66.7,313,90.9,172,59.2,288,92.3,53=,60.4
163,162,167,Washington University in St. Louis,United States of America,Americas,L,FC,VH,Private not for Profit,49.1,235,31,449,99.9,26,56.8,302,94.5,197,80.5,228,75.9,465,57.5,303,88.9,97,60.4
164,164,157,Lancaster University,United Kingdom,Europe,L,FC,VH,Public,50.5,225,48.6,257,38.4,524,70.2,209,95.8,174,87.2,195,91.2,164,38.8,468,90.7,80=,60.3
165,165,160,Universitat de Barcelona,Spain,Europe,XL,FC,VH,Public,85.7,80,46.5,282,16.7,801+,46.9,399,38.1,531,41.5,491,97,44,69.4,216,85.8,139,60.1
166,165,186,Wuhan University,China (Mainland),Asia,XL,FC,VH,Public,56.2,196,57.5,196,22.3,790,98.7,45,43.9,496,10.1,801+,82.6,316,51,356,70,397=,60.1
167,167,147,Stockholm University,Sweden,Europe,XL,CO,VH,Public,65.6,154,29.6,474,21.6,801+,72.9,196,65.7,373,64.1,335,97.2,40,86.9,118,69.3,406=,59.8
168,168,155,University of Geneva,Switzerland,Europe,L,FC,VH,Public,56.5,192,31,450,50.5,378,61.5,269,100,105,98.5,90,92.1,146,64.3,248,65.2,501=,59.7
169,169,144,Texas A&M University,United States of America,Americas,XL,FC,VH,Public,70.1,139,84,90,6.3,801+,58.1,295,25.1,662,18.9,751,95,91,56.4,314,80.6,219,59.5
170,170,180,Indian Institute of Technology Madras (IITM),India,Asia,M,CO,VH,Public,55.1,203,87.4,81,15.8,801+,95.3,70,2.1,801+,3.1,801+,52.2,801+,53.2,342,74.8,301,59.3
171,171,170,Kyushu University,Japan,Asia,L,FC,VH,Public,70.9,134,76.1,114,85.7,128,29.5,593,25.4,658,37,533,74.7,489,20.8,757,80.1,227=,58.8
172,172,173,Arizona State University,United States of America,Americas,XL,CO,VH,Public,66.1,150,63.2,169,9.6,801+,53.6,336,79.1,306,53.1,403,96.5,57,37,483,87.9,110=,58.4
173,173,179,"University of California, Santa Barbara (UCSB)",United States of America,Americas,L,CO,VH,Public,63.3,162,40.9,334,7.5,801+,97.2,63,79.7,304,23,690,73.6,511,25.1,674,62.9,554=,58.3
174,174,165,Chalmers University of Technology,Sweden,Europe,M,FO,VH,Private not for Profit,35.7,339,50.7,243,57,333,72.1,200,100,55,73.7,269,75.9,464,58.4,295,91.7,64=,58.2
175,174,173,McMaster University,Canada,Americas,L,FC,VH,Public,55.1,202,46.4,285,51.9,366,56.2,310,83.3,279,55.6,385,86,250,55.9,317,89.5,93=,58.2
176,174,199,Queen's University Belfast,United Kingdom,Europe,L,FC,VH,Public,52.3,215,52.8,226,28.7,667,58.5,291,100,92,99.7,68,96.2,68,20,773,90.2,87=,58.2
177,177,166,Al-Farabi Kazakh National University,Kazakhstan,Asia,L,FC,HI,Public,54.2,209,77.9,107,99.6,35,2.2,801+,92.6,215,93.7,150,82.6,317,64.5,246,62.6,563=,57.9
178,177,199,National Yang Ming Chiao Tung University (NYCU Taiwan),Taiwan,Asia,L,FC,VH,Public,44.8,274,69.3,144,59,318,71.8,202,35.9,555,35.9,549,48.6,801+,80.3,162,80.9,213=,57.9
179,179,181,Cardiff University,United Kingdom,Europe,L,FC,VH,Public,61,173,53.4,224,38.7,518,50.2,369,80.9,295,56.9,378,92.6,140,31.5,559,90.6,83=,57.6
180,179,170,Hokkaido University,Japan,Asia,L,FC,VH,Public,70.4,137,70.4,137,76.3,185,36.5,509,25.6,654,17.7,777,77.3,435,25.7,652,80,229,57.6
181,179,191,Queen's University at Kingston,Canada,Americas,L,FC,VH,Public,48.8,237,73,128,6.4,801+,66.1,235,73.7,336,29,612,83.8,299,90.1,102,91.9,59=,57.6
182,182,161,Michigan State University,United States of America,Americas,XL,FC,VH,Public,65.7,152,53.7,221,12,801+,57.3,300,66.6,371,18.7,757,97.9,30,68.1,224,94.2,35=,57.4
183,183,182,Emory University,United States of America,Americas,L,FC,VH,Private not for Profit,36.3,331,34.1,402,89.2,111,85.5,127,71.9,341,46,449,86.1,248,45.3,406,62.8,556=,57.3
184,184,150,University of Cape Town,South Africa,Africa,L,FC,VH,Public,60.4,179,52.7,227,15.2,801+,57.8,296,53.8,439,26.3,646,97.8,31,98,40,91.9,59=,57.2
185,185,218,Technische Universität Dresden,Germany,Europe,L,FC,VH,Public,47.1,250,46.1,292,63,282,70.8,206,75,327,48.2,431,95.1,90,12.1,801+,86.7,129,57.1
186,185,173,Universidad de Chile,Chile,Americas,XL,FC,VH,Public,92,63,85.1,87,9.9,801+,16,801+,10.6,801+,8.2,801+,76.8,446,95.7,61,66.4,474=,57.1
187,185,194,Vrije Universiteit Amsterdam,Netherlands,Europe,XL,FC,VH,Public,55.9,198,29.3,479,18,801+,82.9,142,91.1,227,57.6,373,91.1,167,51.9,350,65.7,487=,57.1
188,188,187,Tecnológico de Monterrey,Mexico,Americas,XL,FC,HI,Private not for Profit,72.7,125,91.2,71,65.5,261,5,801+,24.3,675,18.5,762,75.2,480,95,70,73,328=,57
189,189,183,Curtin University,Australia,Oceania,L,CO,VH,Public,47.5,247,37.6,366,13.6,801+,84.8,130,100,58,68.2,304,95,92,35.1,507,82.2,192=,56.9
190,190,256,Harbin Institute of Technology,China (Mainland),Asia,L,FO,VH,Public,36.2,334,59.9,183,46,425,100,10,52.6,446,22.9,693,77.9,414,32,552,67.5,446=,56.8
191,191,203,National Cheng Kung University (NCKU),Taiwan,Asia,L,FC,VH,Public,63.7,159,78.1,106,38.9,512,47.5,393,26,652,26.4,645,58.7,763,59.3,284,85.6,141=,56.7
192,191,197,Technische Universität Wien,Austria,Europe,M,SP,VH,Public,50.1,229,58.9,188,16.3,801+,67.4,226,95.6,181,96,128,73.2,515,33.9,517,62.2,569=,56.7
193,191,189,Universitas Indonesia,Indonesia,Asia,XL,FC,VH,Public,71.9,130,87.4,82,59.9,308,3.9,801+,88.4,248,10.3,801+,63.4,695,81,158,68.4,427=,56.7
194,191,184,University of Bern,Switzerland,Europe,M,FC,VH,Public,38.8,312,22.9,606,41.5,474,99.5,28,100,74,53.7,400,95.4,82,41.4,446,66.3,477=,56.7
195,195,184,University of Wollongong,Australia,Oceania,L,FC,VH,Public,41,295,31.2,446,16.6,801+,95.2,71,96.7,161,88.2,190,88.3,211,25,675,86,138,56.6
196,196,191,Université catholique de Louvain (UCLouvain),Belgium,Europe,XL,FC,VH,Private not for Profit,61.8,168,40.1,339,5.4,801+,54.3,325,92.7,214,63.8,337,91.2,165,78.4,171,91.5,72=,56.5
197,196,194,University of Reading,United Kingdom,Europe,L,CO,VH,Public,45.9,264,38.1,359,15.4,801+,72.2,198,94.5,198,83.7,216,93.5,119,61.1,265,94.8,30=,56.5
198,198,197,University of Otago,New Zealand,Oceania,L,FC,VH,Public,62.4,166,37.6,368,11.3,801+,60.3,275,100,59,41,500,80.5,371,72,204,87.9,110=,56.3
199,199,187,Complutense University of Madrid,Spain,Europe,XL,FC,VH,Public,79.6,99,68.7,148,45.4,434,11.8,801+,16.3,801+,25.9,650,93.2,126,93.7,85,80.4,222=,56.2
200,200,163,King Abdulaziz University (KAU),Saudi Arabia,Asia,XL,FC,VH,Public,61.7,169,65.3,164,33.6,580,48.4,382,74.2,333,8.3,801+,94.6,102,38.1,476,81.9,195=,55.9
201,201,190,The Ohio State University,United States of America,Americas,XL,FC,VH,Public,71.4,132,62.6,171,57.9,325,26.6,639,47.1,485,17.1,790,90.4,178,57.4,304,70.1,395=,55.7
202,201,196,Waseda University,Japan,Asia,XL,CO,VH,Private not for Profit,74.7,118,97.1,38,27.2,686,6.5,801+,34,571,40.6,506,60.2,742,85.4,128,80.1,227=,55.7
203,203,225,Loughborough University,United Kingdom,Europe,L,CO,VH,Public,45.1,271,67.3,153,20.6,801+,59,285,89.2,239,65.3,326,85.6,260,34.8,510,91.7,64=,55.5
204,204,233,Università di Padova,Italy,Europe,XL,FC,VH,Public,75.5,115,50.9,241,10.5,801+,62.1,266,14.7,801+,17.9,774,96.3,62,24.3,686,86.9,122=,55.4
205,205,215,Indian Institute of Technology Kharagpur (IIT-KGP),India,Asia,L,CO,VH,Public,41.7,292,85,88,8.2,801+,96.3,67,4.2,801+,1.4,801+,69.4,588,48.5,376,79.2,236,55.1
206,206,224,Gadjah Mada University,Indonesia,Asia,XL,FC,VH,Public,71.9,131,81.8,100,66.7,249,3.1,801+,76.1,320,11,801+,59.3,755,68.5,223,69.3,406=,55
207,206,242,Politecnico di Torino,Italy,Europe,XL,FO,VH,Public,53,213,73.5,125,3.2,801+,74.4,185,7.8,801+,62.4,344,82.4,322,33.4,527,79.5,233=,55
208,208,223,Tel Aviv University,Israel,Asia,L,FC,VH,Public,44.9,272,32.9,421,5.5,801+,99.4,29,59.9,401,13.8,801+,78.7,404,93.9,82,81.6,202=,54.9
209,209,207,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,Europe,L,FC,VH,Public,69.8,141,32.7,424,66.1,255,29.4,594,48.8,480,55.6,384,95.4,83,44.7,415,92.1,57=,54.8
210,209,193,Universität Hamburg,Germany,Europe,L,FC,VH,Public,65.2,155,43,311,27.1,689,52.5,341,55.9,425,29.1,609,95.5,80,45.5,403,93,46,54.8
211,211,172,Universitat Autònoma de Barcelona,Spain,Europe,XL,FC,VH,Public,76.9,107,38.6,353,15.7,801+,59,286,21.2,719,25.7,653,93.9,112,26.2,641,90.6,83=,54.7
212,212,221,Chulalongkorn University,Thailand,Asia,XL,FC,VH,Public,83.5,88,50.2,249,48.2,403,12.4,801+,34.3,566,6.4,801+,83.3,307,94.8,73,83.9,165,54.6
213,213,244,Hamad Bin Khalifa University (HBKU),Qatar,Asia,S,CO,VH,Private not for Profit,13.9,701+,10.6,701+,100,15,100,12,100,15,100,12,81.4,353,51.5,353,49.4,801+,54.5
214,213,215,Keio University,Japan,Asia,XL,FC,VH,Private not for Profit,66.3,149,94.7,50,63.1,281,8,801+,12.5,801+,17.7,779,55.2,801+,93.8,84,78.7,243=,54.5
215,215,230,Massey University,New Zealand,Oceania,M,CO,VH,Public,42.1,290,27.6,500,61.9,290,47.6,392,99.6,117,99.7,67,82.3,327,78.3,173,86.5,132,54.4
216,216,244,Hong Kong Baptist University,"Hong Kong SAR, China",Asia,M,CO,VH,Public,31.5,389,29.7,471,59.4,314,88.9,114,100,82,100,26,37.5,801+,30.5,576,72.9,331=,54.3
217,217,229,United Arab Emirates University,United Arab Emirates,Asia,M,FC,VH,Public,43.5,277,50.3,248,52.6,363,44.9,422,100,23,36.9,535,89.1,201,94.3,79,74.3,314=,54.2
218,218,232,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,Europe,L,FC,VH,Public,39.9,303,54.5,213,5.1,801+,96.5,66,32.4,584,62.4,342,86.9,229,26.1,644,81.7,201,54
219,218,240,The Hebrew University of Jerusalem,Israel,Asia,L,FC,VH,Public,45.5,268,36.7,373,63.4,279,50.9,361,88.4,249,31.7,590,72.5,526,97.7,43,83.1,174=,54
220,220,246,University College Cork,Ireland,Europe,L,FC,VH,Public,46.4,257,53.6,222,16.6,801+,62.4,263,83,281,73.8,266,74.6,491,48.3,377,84.4,159=,53.9
221,221,219,Indian Institute of Science (IISc) Bangalore,India,Asia,M,FO,VH,Public,55,204,48.8,256,31.5,606,99.9,21,4.8,801+,2.2,801+,47.1,801+,22.6,721,67.3,457=,53.8
222,221,222,Indian Institute of Technology Kanpur (IITK),India,Asia,M,FO,VH,Public,47.9,245,88.3,78,12.5,801+,81,148,1.6,801+,1.5,801+,44.7,801+,60.3,274,74.5,306=,53.8
223,223,237,American University of Beirut (AUB),Lebanon,Asia,M,FC,VH,Private not for Profit,43,282,62.5,172,48,406,45.7,412,66.7,369,44.5,464,64.3,679,99.8,18,83,176=,53.7
224,223,203,University of Twente,Netherlands,Europe,M,CO,VH,Public,30.5,409,29.6,476,54.4,348,73.6,192,100,102,94.9,140,89.2,200,37,484,85.3,146,53.7
225,225,202,University of Gothenburg,Sweden,Europe,L,FC,VH,Public,45.6,267,22.2,626,68.9,231,40.7,468,94.5,196,86.3,198,94.1,108,67.5,230,92.6,50=,53.4
226,226,206,Universidad Autónoma de Madrid,Spain,Europe,L,FC,VH,Public,72.4,128,62.4,173,35.9,547,25.8,656,30.2,600,32.3,585,92.2,143,46.9,394,77,264=,53.3
227,227,207,Deakin University,Australia,Oceania,XL,FC,VH,Public,43.1,281,33.3,413,5.8,801+,77.8,170,95.2,190,84.6,208,86,252,36.6,486,87.8,112,53.2
228,228,212,University of Florida,United States of America,Americas,XL,FC,VH,Public,58.7,187,55.2,210,75.7,190,28.9,602,27.1,635,14.5,801+,97.9,27,61,268,85.6,141=,53.1
229,228,219,University of Ottawa,Canada,Americas,XL,FC,VH,Public,36.6,328,37.3,370,4.8,801+,84,133,92,217,79.4,233,91.9,148,41.7,441,87.5,116=,53.1
230,230,215,Eberhard Karls Universität Tübingen,Germany,Europe,L,FC,VH,Public,62.5,165,31.9,438,86,127,28.4,609,81.8,291,39.9,514,94.8,94,33.2,532,62.5,565=,53
231,230,268,Griffith University,Australia,Oceania,L,FC,VH,Public,40.4,298,23.5,587,10,801+,84.2,132,100,88,90.1,179,94.6,101,23.6,704,91.2,76,53
232,230,251,University of Strathclyde,United Kingdom,Europe,L,CO,VH,Public,38.2,317,46.4,288,13.2,801+,65.3,241,96,171,90.3,176,90.1,181,44.8,412,90.7,80=,53
233,233,212,Universidad de los Andes,Colombia,Americas,L,FC,HI,Private not for Profit,82.8,89,83.1,96,16.8,801+,9,801+,19.7,743,2.8,801+,54.1,801+,98.7,33,74.1,316=,52.8
234,233,212,University of Lausanne,Switzerland,Europe,L,FO,VH,Public,39.8,304,29.2,481,49.3,390,63.4,254,100,104,66.4,316,87.3,222,60.8,269,71.4,368=,52.8
235,235,205,École Normale Supérieure de Lyon,France,Europe,S,FO,VH,Public,41.3,294,22.7,612,99.6,33,74.6,183,45.3,493,23.2,688,69.4,585,63.2,254,48.3,801+,52.7
236,235,257,Tianjin University,China (Mainland),Asia,L,CO,VH,Public,29.1,429,50.4,246,54.3,350,99.9,19,22.7,694,41.8,488,76.3,459,33.8,520,54.5,764=,52.7
237,237,247,Beijing Normal University,China (Mainland),Asia,S,CO,VH,Public,50.4,227,41.2,327,28.1,671,97.9,51,7.7,801+,30.8,595,75.3,473,12.4,801+,59.2,642=,52.5
238,237,230,University of Lisbon,Portugal,Europe,XL,FC,VH,Public,59.4,184,42.2,316,13.1,801+,50.3,366,13.3,801+,58.6,368,98.4,19,94.5,77,84.4,159=,52.5
239,239,,Central European University,Austria,Europe,S,SP,VH,Private not for Profit,21.6,565,11.9,701+,90.6,105,79.7,159,100,11,100,1,37,801+,97.1,48,58.2,666=,52.4
240,240,226,Queensland University of Technology (QUT),Australia,Oceania,XL,CO,VH,Public,50.7,224,38.9,347,9.2,801+,70,210,94.8,194,49,426,80.2,379,24.4,682,87.1,118=,52.3
241,241,233,La Trobe University,Australia,Oceania,L,CO,VH,Public,33,370,33.7,409,13.7,801+,83.7,136,95.8,175,97.7,108,86.6,237,28.5,600,82.2,192=,52.2
242,241,240,Victoria University of Wellington,New Zealand,Oceania,L,CO,VH,Public,58.6,188,36.6,374,12.3,801+,44.4,429,99.9,111,62.4,343,64.8,671,80.7,160,81.9,195=,52.2
243,243,259,Beijing Institute of Technology,China (Mainland),Asia,XL,CO,VH,Public,37.3,321,57.8,193,33.7,579,99.1,34,12.4,801+,10.1,801+,75.5,471,19.5,779,70,397=,52
244,244,227,"The University of Newcastle, Australia (UON)",Australia,Oceania,L,FC,VH,Public,34.9,348,32.1,434,23.2,771,91.2,98,100,70,45.7,453,78.1,411,21.1,746,86.3,133,51.9
245,245,201,Albert-Ludwigs-Universitaet Freiburg,Germany,Europe,L,FC,VH,Public,56.3,194,31.7,441,29.6,648,52.8,337,76.9,318,41,499,89.1,203,48.1,381,87.1,118=,51.8
246,246,257,Université Paris 1 Panthéon-Sorbonne,France,Europe,XL,FO,VH,Public,78.2,102,71.5,131,5.4,801+,4.2,801+,42.9,503,61.6,349,69.1,594,78.8,170,79.5,233=,51.7
247,246,262,University of Surrey,United Kingdom,Europe,L,CO,VH,Public,31.1,398,32,435,30.7,623,77.6,171,98.2,144,80.2,230,89.8,188,32.5,543,87.7,113,51.7
248,248,227,Universite libre de Bruxelles,Belgium,Europe,XL,FC,VH,Public,42.4,287,50.2,250,3.9,801+,54.4,322,98.8,135,88.5,189,94.1,107,68.8,219,61.3,587=,51.6
249,249,211,University of Calgary,Canada,Americas,XL,FC,VH,Public,48.6,238,39.3,345,21.8,801+,50.8,363,85.2,270,69.2,299,86,251,55.9,320,86.6,130=,51.5
250,250,253,Technical University of Darmstadt,Germany,Europe,L,CO,VH,Public,29.6,418,41.5,323,7.5,801+,86,126,67.2,364,96.3,126,75.4,472,55.2,326,80.8,217=,51.3
251,251,236,University of Rochester,United States of America,Americas,M,FC,VH,Private not for Profit,27.3,456,30.3,462,96.1,76,52.1,345,83.3,278,94.5,144,64.3,678,60,278,75.5,287=,51.2
252,252,293,"University of California, Irvine",United States of America,Americas,XL,FC,VH,Public,48.1,244,47.5,273,20.4,801+,64.6,247,67.9,360,61.9,347,79.2,398,25.5,657,65,503=,51
253,252,207,"University of Maryland, College Park",United States of America,Americas,XL,FC,VH,Public,55.3,201,45.4,297,42,470,52.5,343,27.1,636,23.4,683,92.6,139,54,335,69.8,401,51
254,254,239,Maastricht University,Netherlands,Europe,L,CO,VH,Public,34.1,359,32.2,431,18.4,801+,68,218,99.9,107,100,27,85.1,269,47.8,385,84.8,156,50.9
255,255,210,University of Minnesota (System),United States of America,Americas,XL,FC,VH,Public,67.2,148,40.6,337,34.1,570,41.8,453,6.2,801+,15.3,801+,91.5,158,58.6,294,92.5,52,50.7
256,255,237,University of Porto,Portugal,Europe,XL,FC,VH,Public,54.9,205,34.8,393,13.1,801+,71.8,203,8.7,801+,35.1,553,93.4,123,55.2,327,85,151=,50.7
257,257,261,University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand,Oceania,L,CO,VH,Public,51.5,219,39.4,344,9.1,801+,48,387,100,57,46.8,441,58.3,767,89.9,104,89.7,91=,50.6
258,258,272,American University of Sharjah,United Arab Emirates,Asia,M,CO,VH,Private not for Profit,32.8,372,59,186,19.2,801+,51.4,354,100,5,100,14,55.8,801+,81.8,156,62.2,569=,50.4
259,258,276,Sun Yat-sen University,China (Mainland),Asia,XL,FC,VH,Public,48.6,239,52.1,233,55.1,345,71.7,204,4,801+,6.1,801+,77.5,429,31.6,557,53.9,781=,50.4
260,260,247,University of Massachusetts Amherst,United States of America,Americas,XL,CO,VH,Public,47.4,248,44.5,300,12.4,801+,58.8,288,82.7,284,41.4,492,76.8,445,42.9,431,90.2,87=,50.1
261,261,251,Universiti Teknologi PETRONAS (UTP),Malaysia,Asia,S,FO,VH,Private not for Profit,26.4,468,35.3,385,46.7,418,98.4,48,75.4,325,38,525,69.8,579,9.4,801+,63.9,530=,49.9
262,261,243,University of Göttingen,Germany,Europe,L,FC,VH,Public,54.8,206,27,513,90.5,106,23.8,686,59.2,405,38.9,519,95.1,89,48.1,380,80.4,222=,49.9
263,263,265,Universitat Pompeu Fabra (Barcelona),Spain,Europe,M,CO,VH,Public,46.3,259,31.9,437,17.2,801+,73.8,189,87.3,255,40,513,77.5,428,28.9,596,67,461=,49.7
264,264,267,Norwegian University of Science And Technology,Norway,Europe,XL,FC,VH,Public,48.5,240,38,361,30.7,626,43.2,438,81.8,292,16.1,801+,94.7,98,87.3,116,83,176=,49.6
265,265,250,Vanderbilt University,United States of America,Americas,L,FC,VH,Private not for Profit,34.1,357,30.8,455,100,14,47.1,398,52.5,448,51.4,412,81.9,339,61,267,64.4,520=,49.3
266,266,519,Singapore University of Technology and Design,Singapore,Asia,S,SP,VH,Public,13.9,701+,19.6,676,96.3,70,97.5,56,100,106,94.8,141,29.7,801+,12.8,801+,33.3,801+,49.2
267,267,285,University of Macau,"Macao SAR, China",Asia,L,CO,VH,Public,21.6,566,23.1,599,11.4,801+,99.9,18,100,24,100,32,45.8,801+,60.1,277,64.8,509=,49.1
268,268,275,University of Virginia,United States of America,Americas,L,FC,VH,Public,48.3,242,54.2,216,59.8,309,35.8,521,9.8,801+,24.9,667,82.4,323,90.5,101,68.4,427=,49
269,269,272,University of Cologne,Germany,Europe,L,CO,VH,Public,45.6,266,49,255,18.4,801+,49,378,50.4,465,42.7,483,92.7,138,59.3,283,90.1,89,48.9
270,270,247,Dartmouth College,United States of America,Americas,M,FC,VH,Private not for Profit,33,371,48.5,259,85.1,135,42.9,441,12.2,801+,57.3,375,46,801+,97.1,49,83.4,171,48.5
271,270,276,University of Milan,Italy,Europe,XL,FC,VH,Public,67.7,146,35.8,379,10.4,801+,49.2,377,9.6,801+,12.5,801+,88.4,209,56.1,316,83.1,174=,48.5
272,272,253,Taylor's University,Malaysia,Asia,M,CO,VH,Private for Profit,41,296,75.9,115,59.2,315,20,733,74.4,329,100,43,56.9,785,6.9,801+,68.9,415=,48.4
273,273,265,Charles University,Czechia,Europe,XL,FC,VH,Public,60.8,176,54.4,215,33.8,576,12.4,801+,32.9,577,58.6,370,96.8,51,65.2,245,77.7,255=,48.2
274,273,278,University of Sussex,United Kingdom,Europe,L,FC,VH,Public,36.2,333,25,556,23.3,766,54.2,329,97.8,149,91,171,86.6,232,54.8,331,90.5,86,48.2
275,275,284,University of Galway,Ireland,Europe,L,FC,VH,Public,39.1,309,41.7,320,66.1,256,22.8,701,98.2,143,70.4,289,75.3,474,63.1,256,82.9,180=,48.1
276,276,287,Universitas Airlangga,Indonesia,Asia,XL,FC,VH,Public,54.6,207,80.1,102,74.5,193,2.7,801+,88.7,243,8.5,801+,65.8,659,21,750,60.9,599=,48
277,277,233,Universidade Estadual de Campinas (Unicamp),Brazil,Americas,XL,FC,VH,Public,80.1,98,39.2,346,23.1,773,29.7,592,11.8,801+,3.7,801+,81.9,338,27.9,604,81.1,208=,47.9
278,277,280,University of Antwerp,Belgium,Europe,L,FC,VH,Public,36.3,332,20.7,656,45.7,430,54,332,96.4,166,44.8,461,96.2,66,60.7,270,85.1,149=,47.9
279,279,298,Istanbul Technical University,Türkiye,Asia,L,FO,VH,Public,38.8,311,90.2,73,8.8,801+,42.4,446,11.9,801+,34.8,559,76.6,451,79.1,167,71.6,364=,47.6
280,279,262,University of Navarra,Spain,Europe,L,FC,HI,Private not for Profit,40.5,297,67.8,151,54,357,19.5,740,34.2,568,86.2,199,57.7,777,84.7,137,69.1,408=,47.6
